common_family,common_name,hawaii_name,science_family,species,sex,hermaph,TL_TO_FL,LINF_TL,TL_TO_SL,LINF_SL,Linf_FL,Linf_FL_in,K,t0,LMAT_SL,LMAT_TL,LMAT_FL,Lm_in,LONG,LW_A,LW_B,L50,L95,M,M/K,SL50,SL95,SPR,BinWidth,CurrentLc_mm,CurrentLc_in,CurrentLc_in_label,Nadon_F,Nadon_F/M,SPR_Nadon,Source (if not Access database),Notes,Assigned to research (ie male v female),Male v Female,Kaʻūpūlehu Species,Hawaiian Name,Common Name,Scientific Name,Length at Maturity,Mean Maximum Length,Current Minimum Size Limit (DAR Regulation)
Jacks,Bluefin Trevally,‘Ōmilu,Carangidae,Caranx melampygus,,FALSE,0.95,,0.84,897,1014.464286,40,0.2330,-0.0440,400,,452.3809524,18,7,0.024200,2.941000,452,453,0.46,1.973559672,452,453,0.4,5,254,10,10 inches,0.16,0.347947563,0.65,,,Bill,,‘Ōmilu - Caranx melampygus - Bluefin Trevally,‘Ōmilu,Bluefin Trevally,Caranx melampygus,18 in ,40 in,10 in
Jacks,Bigeye Trevally,Pake ulua,Carangidae,Caranx sexfasciatus,,FALSE,0.9,,0.83,,800,31,0.2400,0.0000,420,,455.4216867,18,11,0.019800,2.986000,455,456,0.29,1.219271146,455,456,0.4,5,254,10,10 inches,,0,,,,Bill,,Pake ulua - Caranx sexfasciatus - Bigeye Trevally,Pake ulua,Bigeye Trevally,Caranx sexfasciatus,18 in ,31 in,10 in
Jacks,Rainbow Runner,Kamanu,Carangidae,Elagatis bipinnulata,,FALSE,0.84,,,,930,37,0.2140,0.0000,,,640,25,13,0.013500,2.920000,640,641,0.25,1.157036601,640,641,0.4,5,,,,,0,,LVB changed to Iwaski 1995 within Molony 2008,,Bill,,Kamanu - Elagatis bipinnulata - Rainbow Runner,Kamanu,Rainbow Runner,Elagatis bipinnulata,25 in,37 in,
Jacks,Thick Lipped Jack,Butaguchi,Carangidae,Pseudocaranx dentex,,FALSE,0.9,,0.87,,1232,49,0.3070,-0.7700,,289,260.1,10,7,0.027100,2.885980,260,261,0.46,1.49784822,260,261,0.4,5,,,,,0,,,,Erin,N/A,Butaguchi - Pseudocaranx dentex - Thick Lipped Jack,Butaguchi,Thick Lipped Jack,Pseudocaranx dentex,10 in,49 in,
Jacks,Greater Amberjack,Kahala,Carangidae,Seriola dumerili,,FALSE,,1272,,,1117.587,44,0.2272,-0.7931,,910,799.027,31,15,0.024000,2.860000,799,800,0.21,0.944505817,799,800,0.4,5,,,,0.14,0.652401681,36,,,Erin,N/A,Kahala - Seriola dumerili - Greater Amberjack,Kahala,Greater Amberjack,Seriola dumerili,31 in ,44 in,
Squirrelfishes,Bigscale Soldierfish,‘Ū’ū,Holocentridae,Myripristis berndti,,FALSE,0.92,,0.78,211,248.8717949,10,0.1475,-4.4786,,175,161,6,27,0.027690,3.003360,161,162,0.12,0.808255072,161,162,0.4,5,,,,0.04,0.335520865,0.69,,,Erin,N/A,‘Ū’ū - Myripristis berndti - Bigscale Soldierfish,‘Ū’ū,Bigscale Soldierfish,Myripristis berndti,6 in,10 in ,
Snappers,Green Jobfish,Uku,Lutjanidae,Aprion virescens,,FALSE,0.92,,0.81,,765,30,0.1360,0.0000,,,450,18,32,0.000012,3.043000,450,451,0.10,0.739631394,450,451,0.4,5,,,,0.23,2.286512559,0.23,Uku 2020 stock assessment NOAA,,Bill,,Uku - Aprion virescens - Green Jobfish,Uku,Green Jobfish,Aprion virescens,18 in ,30 in,
Snappers,Bluestipe Snapper,Ta'ape,Lutjanidae,Lutjanus kasmira,,FALSE,0.97,340,0.83,,329.8,13,0.2900,-1.3700,,200,194,8,8,0.008420,3.246960,194,195,0.40,1.387446476,194,195,0.4,5,,,,0.36,0.894722306,0.63,,,Bill,,Ta'ape - Lutjanus kasmira - Bluestipe Snapper,Ta'ape,Bluestipe Snapper,Lutjanus kasmira,8 in ,13 in,
Mullets,Striped Mullet,Ama'ama,Mugilidae,Mugil cephalus,,FALSE,0.91,609,0.87,,554.19,22,0.3000,-0.1400,,325,295.75,12,13,0.010850,3.089000,296,297,0.25,0.825352776,296,297,0.4,5,279.4,11,11 inches,,0,,,,Bill,,Ama'ama - Mugil cephalus - Striped Mullet,Ama'ama,Striped Mullet,Mugil cephalus,12 in ,22 in,11 in
Goatfishes,Yellowstripe Goatfish,Weke’ā,Mullidae,Mulloidichthys flavolineatus,,FALSE,0.92,,,,342,13,0.5640,-0.3600,,,183,7,6,0.008700,3.210000,183,184,0.54,0.95120444,183,184,0.4,5,177.8,7,7 inches,0.42,0.782882018,0.61,,,Bill,,Weke’ā - Mulloidichthys flavolineatus - Yellowstripe Goatfish,Weke’ā,Yellowstripe Goatfish,Mulloidichthys flavolineatus,7 in,13 in,7 in
Goatfishes,Yellowfin Goatfish,Weke 'ula,Mullidae,Mulloidichthys vanicolensis,,FALSE,0.85,,,,227,9,1.3000,-1.1000,,,175,7,5,0.016700,2.960000,175,176,0.64,0.495211665,175,176,0.4,5,,,,0.01,0.015533373,0.99,,,Bill,,Weke 'ula - Mulloidichthys vanicolensis - Yellowfin Goatfish,Weke 'ula,Yellowfin Goatfish,Mulloidichthys vanicolensis,7 in,9 in ,
Goatfishes,Manybar Goatfish,Moano,Mullidae,Parupeneus multifasciatus,female,FALSE,0.9,,,,303,12,0.7556,-0.1350,,,145,6,5,0.011360,3.210820,145,146,0.64,0.852061631,145,146,0.4,5,177.8,7,7 inches,,0,,Access (Longenecker),No histological evidence of hermaphroditism. Males larger than females.,,was combined in Access - used average,Moano - Parupeneus multifasciatus - Manybar Goatfish,Moano,Manybar Goatfish,Parupeneus multifasciatus,6 in,12 in,7 in
Goatfishes,Whitesaddle Goatfish,Kūmū,Mullidae,Parupeneus porphyreus,,FALSE,0.9,,,,492,19,0.5380,-0.4460,,,238,9,6,0.011360,3.210820,238,239,0.54,0.997173428,238,239,0.4,5,254,10,10 inches,1.32,2.460486341,0.14,,,Erin,N/A,Kūmū - Parupeneus porphyreus - Whitesaddle Goatfish,Kūmū,Whitesaddle Goatfish,Parupeneus porphyreus,9 in,19 in ,10 in
Parrotfishes,Spectacled Parrotfish,Uhu-uliuli,Scaridae,Chlorurus perspicillatus,female,TRUE,1,,,,532,21,0.2250,-1.4800,,,350,14,20,0.013600,3.109000,350,351,0.16,0.715305739,350,351,0.4,5,304.8,12,12 inches,,,,DeMartini et al 2018/Demartini & Howard 2016,,,starts out female becomes male at age ~8,Uhu-uliuli - Chlorurus perspicillatus - Spectacled Parrotfish,Uhu-uliuli,Spectacled Parrotfish,Chlorurus perspicillatus,14 in ,21 in,12 in
Parrotfishes,Bullethead Parrotfish,Uhu,Scaridae,Chlorurus sordidus,,TRUE,1,,0.87,256,294.2528736,12,0.4420,-0.7560,,,170,7,10,0.024310,2.969310,170,171,0.32,0.728252449,170,171,0.4,5,,,,,0,,Fixed typo in Access Linf=256,,Bill,,Uhu - Chlorurus sordidus - Bullethead Parrotfish,Uhu,Bullethead Parrotfish,Chlorurus sordidus,7 in,12 in ,
Parrotfishes,Pacific Daisy Parrotfish,Uhu,Scaridae,Chlorurus spilurus,female,TRUE,1,,,,344,14,0.4000,-0.1300,,,172,7,11,0.022200,2.971000,172,173,0.29,0.731562687,172,173,0.4,5,304.8,12,12 inches,,,,DeMartini et al 2018/Demartini & Howard 2016 (length-weight = Kulbicki),,,,Uhu - Chlorurus spilurus - Pacific Daisy Parrotfish,Uhu,Pacific Daisy Parrotfish,Chlorurus spilurus,7 in,14 in,12 in
Parrotfishes,Palenose Parrotfish,Uhu,Scaridae,Scarus psittacus,combined Demartini,TRUE,0.97,,0.78,,327,13,0.4860,-0.0100,,,139,5,6,0.010450,3.318710,139,140,0.54,1.103866881,139,140,0.4,5,304.8,12,12 inches,0.16,0.298240769,0.77,DeMartini et al 2018/Demartini & Howard 2016,"Sexes were separated in papers, combined here",Erin,Hermaph,Uhu - Scarus psittacus - Palenose Parrotfish,Uhu,Palenose Parrotfish,Scarus psittacus,5 in,13 in,12 in
Parrotfishes,Redlip Parrotfish,Uhu pālukaluka,Scaridae,Scarus rubroviolaceus,female,TRUE,0.91,,,,535,21,0.4100,0.1200,,,350,14,20,0.013600,3.109000,350,351,0.16,0.392545832,350,351,0.4,5,304.8,12,12 inches,0.2,1.242669869,0.27,DeMartini et al 2018/Demartini & Howard 2016,,,,Uhu pālukaluka - Scarus rubroviolaceus - Redlip Parrotfish,Uhu pālukaluka,Redlip Parrotfish,Scarus rubroviolaceus,14 in ,21 in,12 in
Sea basses,Peacock Grouper,Roi,Serranidae,Cephalopholis argus,,TRUE,1,506,0.82,,506,20,0.0750,-6.5000,220,,268.2926829,11,25,0.020000,2.990000,268,269,0.13,1.716733773,268,269,0.4,5,,,,0.01,0.077666867,0.99,,,Bill,,Roi - Cephalopholis argus - Peacock Grouper,Roi,Peacock Grouper,Cephalopholis argus,11 in,20 in,
Barracudas,Great Barracuda,Kākū,Sphyraenidae,Sphyraena barracuda,,FALSE,0.89,,,,1236,49,0.2600,-0.7100,,,780,31,19,0.006170,3.010950,780,781,0.17,0.651594297,780,781,0.4,5,,,,,,,,,Erin,N/A,Kākū - Sphyraena barracuda - Great Barracuda,Kākū,Great Barracuda,Sphyraena barracuda,31 in ,49 in,
